feature_name,dose,pvalue,tstat,fc
M258T121,1,0.068582844,2.22777835,1.438079467
M258T297,1,0.302557646,-1.084385985,0.844768328
M258T486_8,1,0.837717171,-0.210837007,0.960795276
M258T486_9,1,0.990403126,0.012297896,1.001945875
M258T486_10,1,0.264083375,-1.175200258,0.820049555
M258T486_11,1,0.782139516,-0.282960962,0.936681519
M258T390_1,1,0.063132413,2.500197252,1.571941846
M258T471,1,0.911150465,-0.118043195,0.972959842
M258T541,1,0.293977039,1.098298779,1.117527568
M258T390_2,1,0.021638745,3.32366924,1.508515546
M258T271,1,0.750275961,-0.327886491,0.951816118
M258T277,1,0.199822298,-1.378066512,0.830898031
M259T578,1,0.695950403,-0.419963562,0.919546574
M259T68_1,1,0.466196154,0.757047658,1.160802253
M259T68_2,1,0.138407298,1.606885639,1.305864501
M259T54,1,0.247097033,-1.289490261,0.846679176
M259T501,1,0.737172062,0.344710487,1.019819053
M259T418,1,0.033569529,-2.401615733,0.656362469
M259T426,1,0.513185636,0.698231139,1.204278272
M259T518,1,0.271519035,1.154927673,1.11563591
M259T311,1,0.053333794,2.572110429,3.455261009
M259T298_1,1,0.004385123,-3.462741686,0.911014266
M259T486_1,1,0.87133723,-0.166686673,0.9678138
M259T353,1,0.682770726,0.432419412,1.177746244
M259T298_2,1,0.008789838,-3.181663218,0.895612453
M259T160,1,0.677480646,-0.429825666,0.935353389
M259T486_2,1,0.780392946,-0.286445224,0.947437618
M259T541_1,1,0.27754598,-1.155487831,0.873937674
M259T486_3,1,0.574316945,-0.583562872,0.895362229
M259T541_2,1,0.034315002,2.369747223,1.176406376
M259T482,1,0.100044447,2.601215912,2.17076326
M259T390,1,0.016610812,3.517105982,1.598134817
M259T26,1,0.55672982,-0.603242909,0.950848926
M259T503,1,0.267471095,1.185163919,1.158192926
M260T111,1,0.364116987,-0.94797252,0.849410798
M260T578,1,0.654303647,0.458339793,1.007351397
M260T68_1,1,0.906151256,0.123404232,1.024527662
M260T68_2,1,0.313157456,-1.15842343,0.758799479
M260T67,1,0.91613264,0.108704875,1.033425394
M260T54_1,1,0.086080515,-2.058493075,0.675807692
M260T380,1,0.050043213,-2.192894878,0.769798781
M260T501_2,1,0.493405429,0.735365972,1.086381984
M260T354,1,0.052932645,2.599518555,1.602931806
M260T173,1,0.488659625,0.765393181,1.52673755
M260T469,1,0.486384298,0.762128246,1.265233989
M260T426,1,0.414494545,0.88047326,1.262419021
M260T486,1,0.768843907,-0.301792422,0.944709198
M260T298,1,0.78930771,-0.272984119,0.980564015
M260T471,1,0.652523964,0.463210881,1.059075747
M260T346,1,0.817729642,-0.238215523,0.966807677
M260T525,1,0.071861017,1.978601326,1.495216154
M260T31,1,0.245519945,1.320152502,1.274021983
M260T499,1,0.200020518,1.371003539,1.089995693
M260T259_1,1,0.838617354,0.208553881,1.048035724
M260T259_2,1,0.965022419,-0.044713,0.995499424
M260T509,1,0.746849531,-0.339664847,0.952305667
M260T470,1,0.23494775,-1.300793605,0.823002476
M260T259_3,1,0.788453785,0.27440752,1.049542749
M261T578,1,0.768702714,0.319500364,1.067349814
M261T501,1,0.743100492,0.336251574,1.018201249
M261T301,1,0.520948012,0.65976529,1.051712472
M261T492,1,0.555351358,0.634393308,1.084024105
M261T49,1,0.008573211,-3.143653651,0.566117199
M261T308_1,1,0.271045548,1.324197622,1.219848665
M261T505,1,0.560457235,-0.609778496,0.923054377
M261T486,1,0.765600715,-0.305348477,0.940408967
M261T427,1,0.261759401,-1.175016763,0.913927685
M261T477,1,0.050128544,2.217373206,1.40781396
M261T369,1,0.258799985,1.299933336,1.555378548
M261T308_3,1,0.034827405,3.114865067,7.849264384
M261T535,1,0.035650099,2.560090521,1.845269838
M261T525,1,0.261508985,1.222032629,1.44602301
M261T259_2,1,0.861186738,0.178589009,1.019659364
M261T509,1,0.446381252,-0.808207123,0.765288855
M262T55,1,0.945564116,-0.073552779,0.969467772
M262T74,1,0.706309423,0.392128394,1.061052726
M262T54,1,0.188320878,-1.473669472,0.830034059
M262T501,1,0.666839452,-0.441520933,0.967039354
M262T380,1,0.27148684,-1.179523736,0.799749844
M262T27,1,0.151199093,1.945587927,1.800135546
M262T336,1,0.612573736,-0.523004392,0.949729141
M262T531,1,0.385335218,0.993213888,1.15320843
M262T408,1,0.066040603,2.422363487,1.629271814
M262T362,1,0.186282624,1.576506992,1.627797538
M262T526,1,0.186841316,1.394820271,1.059633224
M262T472,1,0.47517482,0.74482622,1.173498141
M262T476,1,0.187588359,1.557543655,1.214145245
M262T471,1,0.281082682,1.232375093,1.220432263
M262T541,1,2.17E-05,10.61163071,2.636793444
M262T29,1,0.198169919,1.448748275,1.27051365
M262T427,1,0.543074074,-0.624621117,0.950989542
M262T477,1,0.021424104,2.684762548,1.608910523
M262T393,1,0.028087432,-2.560831643,0.79442834
M262T400,1,0.028956376,2.849107605,1.260677105
M262T259,1,0.860461147,-0.179308839,0.976959744
M263T573,1,0.113696941,-1.763858267,0.7066551
M263T318,1,0.042683303,-2.248174104,0.560312118
M263T542,1,0.11132123,1.726633464,1.235008606
M263T54,1,0.041812324,-2.460149372,0.777307665
M263T336,1,0.040255239,-2.396139793,0.640955557
M263T532,1,0.093928762,-1.900001976,0.812447488
M263T410,1,0.966116602,-0.044193528,0.994549894
M263T444,1,0.047698147,2.608694965,1.349701985
M263T74,1,0.454527492,-0.778632098,0.936902809
M263T531,1,0.593068246,-0.56443819,0.89688579
M263T37,1,0.563128663,0.616538676,1.235252609
M263T304,1,0.930610625,0.097082177,1.01157707
M263T362,1,0.810157439,-0.259077586,0.927701926
M263T526,1,0.264219032,1.166936378,1.050172067
M263T529,1,0.923976888,0.097501596,1.008980445
M263T248,1,0.076044808,2.005503184,1.826624758
M263T496_2,1,0.953922835,0.060076195,1.00365091
M263T402,1,0.947842612,0.068336798,1.007407089
M263T354,1,0.394784631,0.893479632,1.151043173
M263T430,1,0.796511822,0.272804927,1.022462405
M263T524,1,0.468580691,-0.809092092,0.813311125
M263T400,1,0.058817578,2.385486148,1.318251287
M263T393,1,0.191559553,-1.449842782,0.83436986
M264T578,1,0.902052196,0.130141352,1.018007516
M264T456,1,0.217700205,-1.365696251,0.779540517
M264T542,1,0.114107715,1.695269821,1.23482659
